2026-09-14 01:45:00 SUCCESSFUL LOGIN — user: tgarcia, ip: 10.0.0.34
2026-09-14 11:11:25 SUCCESSFUL LOGIN — user: kwilson, ip: 10.0.0.41
2026-09-14 11:14:48 SUCCESSFUL LOGIN — user: tgarcia, ip: 10.0.0.12
2026-09-14 11:15:00 FAILED LOGIN — user: rkumar, ip: 192.0.2.150
2026-09-14 11:18:46 SUCCESSFUL LOGIN — user: kwilson, ip: 10.0.0.58
2026-09-14 11:22:42 SUCCESSFUL LOGIN — user: lchen, ip: 10.0.0.27
2026-09-14 11:26:34 SUCCESSFUL LOGIN — user: kwilson, ip: 10.0.0.34
2026-09-14 11:30:11 SUCCESSFUL LOGIN — user: jsmith, ip: 10.0.0.27
2026-09-14 11:33:40 SUCCESSFUL LOGIN — user: rkumar, ip: 10.0.0.12
2026-09-14 11:36:23 FAILED LOGIN — user: kwilson, ip: 10.0.0.34
2026-09-14 11:37:21 SUCCESSFUL LOGIN — user: jsmith, ip: 10.0.0.58
2026-09-14 11:40:02 SUCCESSFUL LOGIN — user: rkumar, ip: 10.0.0.41
2026-09-14 11:41:40 SUCCESSFUL LOGIN — user: amiller, ip: 10.0.0.5
2026-09-14 11:42:53 SUCCESSFUL LOGIN — user: jsmith, ip: 10.0.0.27
2026-09-14 11:44:43 SUCCESSFUL LOGIN — user: kwilson, ip: 10.0.0.5
2026-09-14 11:48:14 SUCCESSFUL LOGIN — user: lchen, ip: 10.0.0.41
2026-09-14 11:51:58 SUCCESSFUL LOGIN — user: amiller, ip: 10.0.0.12
2026-09-14 11:53:03 SUCCESSFUL LOGIN — user: lchen, ip: 10.0.0.5
2026-09-14 11:54:00 FAILED LOGIN — user: rkumar, ip: 192.0.2.150
2026-09-14 11:56:48 SUCCESSFUL LOGIN — user: rkumar, ip: 10.0.0.34
2026-09-14 11:58:16 SUCCESSFUL LOGIN — user: kwilson, ip: 10.0.0.12
2026-09-14 12:00:13 SUCCESSFUL LOGIN — user: kwilson, ip: 10.0.0.5
2026-09-14 12:01:24 SUCCESSFUL LOGIN — user: lchen, ip: 10.0.0.12
2026-09-14 12:03:02 SUCCESSFUL LOGIN — user: lchen, ip: 10.0.0.27
2026-09-14 12:03:28 SUCCESSFUL LOGIN — user: amiller, ip: 10.0.0.12
2026-09-14 12:04:59 SUCCESSFUL LOGIN — user: lchen, ip: 10.0.0.27
2026-09-14 12:08:03 SUCCESSFUL LOGIN — user: rkumar, ip: 10.0.0.27
2026-09-14 12:09:47 SUCCESSFUL LOGIN — user: kwilson, ip: 10.0.0.41
2026-09-14 12:11:00 FAILED LOGIN — user: rkumar, ip: 192.0.2.150
2026-09-14 12:39:00 FAILED LOGIN — user: rkumar, ip: 192.0.2.150
2026-09-14 13:11:00 FAILED LOGIN — user: rkumar, ip: 192.0.2.150
2026-09-14 13:20:00 FAILED LOGIN — user: rkumar, ip: 192.0.2.150
2026-09-14 13:46:00 FAILED LOGIN — user: rkumar, ip: 192.0.2.150
2026-09-14 14:00:03 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:04 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:07 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:09 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:12 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:14 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:17 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:19 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:21 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:23 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:26 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:28 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:31 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:32 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:33 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:35 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:38 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:40 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:43 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:46 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:47 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:50 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:53 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:55 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:00:57 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:00 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:01 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:03 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:05 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:06 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:08 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:11 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:14 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:17 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:19 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:21 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:23 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:25 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:28 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:29 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:32 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:34 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:37 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:38 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:01:41 REQUEST — user: unknown, ip: 203.0.113.9
2026-09-14 14:11:00 FAILED LOGIN — user: rkumar, ip: 192.0.2.150
2026-09-14 14:21:00 SUCCESSFUL LOGIN — user: rkumar, ip: 192.0.2.150
